Date,Distance
2021/1/1,24.94
2021/1/2,24.00
2021/1/3,12.00
2021/1/4,5.42
2021/1/5,5.75
2021/1/6,7.30
2021/1/7,8.50
2021/1/8,3.50
2021/1/9,19.30
2021/1/10,24.25
2021/1/11,1.50
2021/1/12,5.50
2021/1/13,5.00
2021/1/14,0.00
2021/1/15,5.80
2021/1/16,9.50
2021/1/17,10.40
2021/1/18,8.60
2021/1/19,5.80
2021/1/20,5.47
2021/1/21,5.32
2021/1/22,4.73
2021/1/23,21.37
2021/1/24,16.29
2021/1/25,8.10
2021/1/26,5.50
2021/1/27,0
2021/1/28,4.58
2021/1/29,5.21
2021/1/30,21.32
2021/1/31,21.51